Feature,Ridge,RandomForest,GradientBoost
0,0.420992120346175,0.0007282322918333559,0.006316530555445339
1,0.142751993994893,0.0004200054572522424,1.0337437399079102e-06
2,0.5950033570383414,0.0006607839177946815,0.00015177724074453807
3,0.9462758765999293,0.0007227182736746267,0.0
4,0.0,0.0,0.0
5,0.6778102601097336,0.0005633101271367007,0.0
6,0.007726702852186892,0.0006655843363781229,0.0
7,0.3423612213702797,0.0005959440894794157,0.0003410687414120286
8,0.25652198439290413,0.0003175448444896355,0.000572832090142777
9,0.05622799084480133,0.0007250356686077225,0.0
10,0.17127409385718223,0.0008534994368057411,0.0008016877985292862
11,0.5774832884404384,0.0005109024712141382,0.0
12,1.3286959083682028,0.0003974461968764643,0.00186268935437662
13,1.3966634891750658,0.0005698889664979141,0.0007229979651075387
14,0.31638152033245615,0.000415893419929457,0.0
15,0.12269673105228991,0.0007728295676792811,0.0
16,0.05870187294528308,0.0010549497381758055,0.0
17,0.7577923111322334,0.0019057530713896542,0.00816852567335435
18,0.27597222407393285,0.0006552277447648687,0.0
19,0.5627547690866158,0.0008138537628089682,0.0010742427111369295
20,0.019680470754928032,0.008765840713830929,0.03369360670099811
21,0.06902056928265565,0.0021062154153434665,0.0
22,0.0900528991238912,0.0009976701417908284,0.0003511143738670742
23,0.11702437297646301,0.001904324306160594,0.0
24,0.12316541666596537,0.0014760598626231685,0.0
25,0.27905910507213616,0.0020738131631433247,0.0
26,0.19312671111768276,0.0035427997008462197,0.003959350282184729
27,0.7950695507523454,0.0022616928244159756,0.0002759068649087252
28,0.4760115022488261,0.00163320500859594,0.0
29,0.7074121609665791,0.0029590172529592395,0.00440051619029337
30,0.27432824130275296,0.0020449950974142997,0.0
31,0.11849990226101714,0.002086852048382452,0.0
32,0.11848043180507896,0.0021799938926806393,0.0013099707886190274
33,0.0882555292410198,0.0018854611264756769,0.00020899031158811915
34,0.16213189813801374,0.0019053290946765777,0.0
35,0.05492921567510513,0.0021148073779329625,0.0
36,0.46941542748618553,0.0020597698474865726,0.0
37,0.04168885322736234,0.0020327645955370644,0.000618685689594216
38,0.11102302537633459,0.002309893731536829,0.0
39,0.18877116747621037,0.0029137453618174403,0.004758115338001979
40,0.1048122133373482,0.0019313510210795337,0.00045208351024194975
41,0.14026567960550151,0.0030638736734360057,0.004564778479093249
42,0.7373356065702404,0.002607672940123236,0.00114066221714408
43,0.3212515998449648,0.0020516763883044963,0.0005626250842545545
44,0.08135527644640372,0.0017859162934742911,0.0006778566533957458
45,0.5904192713820322,0.004168394503490683,0.0031665382680628623
46,0.4126231217884057,0.0017985853474132673,0.0
47,0.29582936545525673,0.003644157030311665,0.01448983349226898
48,0.22991469052647673,0.002030477566090422,7.98615476555465e-05
49,0.036936326972702875,0.0020857946890492454,0.00029117871078023204
50,0.2988765184750579,0.0025637188344515183,0.0017894766017334945
51,0.3630350234635815,0.0018712868734382965,0.0005004718915774452
52,0.7976256942145477,0.0021672721078254934,0.00291279463616146
53,0.5545526647598725,0.0017659535685011136,0.0
54,0.16538945867483032,0.002343478062971615,0.0
55,0.08071434669502904,0.0024290706487528646,0.00023109893696172061
56,0.24206011663620514,0.004432345250910863,0.006816066379735453
57,0.014955190186685306,0.0030493050017017256,0.0011625911160397613
58,0.2786857917426493,0.0017975358685065113,0.0012594064581828378
59,0.01957596122954485,0.0019983273311882047,0.0
60,0.2502667438688494,0.0038354528251053894,0.0038212803918381924
61,0.09314588120739456,0.0020130454427818465,0.0002526674164951814
62,0.36063450598423846,0.0019442301324211252,0.00022474809119110833
63,0.44969994843379435,0.003242586271834733,0.005624576032304542
64,0.07572984528548335,0.002209069494108819,0.00012594445709254604
65,0.07304987391492897,0.0021976101801405652,0.0002250587948087744
66,0.35916698662118546,0.0023597791240978555,0.0004307687539684095
67,0.013822173133754227,0.0017326985394882446,6.4965149541607e-05
68,0.008531346143967552,0.0022643697063365075,0.0
69,0.06847842111679228,0.0016246134695889214,0.0003990692441796119
70,0.14560835365145425,0.002164722170405791,0.0
71,1.2088791545603594,0.026334719832572108,0.04045172812136126
72,0.1653158885374935,0.001890631912019107,0.00027047399011673634
73,0.29768051031156517,0.002004244202963246,0.00015390299135794114
74,0.3579790794875049,0.0020661082126702877,0.0002059991312272259
75,0.282866439738677,0.0020745900627739972,0.0006803888476887052
76,0.5814396557735679,0.0020922094029297788,0.00041946404603906355
77,0.4166279009616615,0.002074332020544816,0.0
78,0.21430157181244636,0.0022424792535646505,0.0
79,0.9739692556824264,0.004587882272291737,0.009034928470196732
80,0.26168844395880864,0.002096161888338947,0.0002617814059462424
81,0.3239062184251824,0.0038392793354691786,0.007908742533448473
82,0.03233252383285928,0.0037919458919875803,0.004702746733394226
83,0.4681057897244455,0.0023447348031266414,0.000893323200706896
84,0.14056170347480462,0.0020004947812392163,0.0
85,0.02822360348498569,0.001746930396378308,0.00011333606247720002
86,0.0347672615000606,0.002294719331064302,0.0
87,0.1072671247468586,0.0017150049251834813,0.0
88,0.5253628932777414,0.001995315405571777,0.00022759979231527623
89,0.13245837723148485,0.0023266418694216765,0.00019554834385930662
90,0.687953344464037,0.002141102284635601,0.0008799866518500287
91,0.2761163921863953,0.0015118091722863564,0.0
92,0.5750162180487299,0.008353792719447133,0.03405478370509589
93,0.22525514558144555,0.002570965632373507,0.0061746353700118176
94,0.11430712919794543,0.001686813875725225,0.0
95,0.4401445524413133,0.004479693081216979,0.004219069729893431
96,0.012584217697422724,0.0019306595989005398,2.8997461644966263e-05
97,0.5046217604392144,0.0017744235506922828,0.0
98,0.28998549227639986,0.0018996947719918133,0.0
99,0.26744895930557605,0.00260856789551718,0.00235828214804645
100,0.4592533826577423,0.002198542927869248,0.0
101,0.20492535155629887,0.002168959282944399,0.000582806573010195
102,0.18139115438959166,0.0017933894861615846,0.0016144773460927719
103,0.9934925910006731,0.0022233593005026196,0.0
104,0.41810481144643774,0.0019765412989916973,0.0
105,0.27585399910994396,0.0018808379120290367,0.0
106,0.1569355994179101,0.002019998432028868,0.0
107,0.24490648309996346,0.008181817187168802,0.010404138423487192
108,0.04946015422298913,0.0076605443426352475,0.04728467395607391
109,0.0010132064987320847,0.003040851689077732,0.0009172952642392209
110,0.2576082496639151,0.0026183146076299234,0.009260062290623518
111,0.14661642020465712,0.0205260666707959,0.031001736713279552
112,0.025633311506606058,0.0019096632537926276,0.0008895946624348473
113,0.6404379354461518,0.002245016291732565,0.0009997610688592985
114,0.12738601969265625,0.001779608697636995,0.0
115,0.562115202787326,0.002077596770834969,0.0002850482300724552
116,0.1440630054224287,0.0020152797913757944,0.0008419394213020635
117,0.5956183464461221,0.00194536843082135,0.00023018118914030879
118,0.2053041122299338,0.0019475404588364068,0.0005275634299286558
119,0.46833406589350696,0.0020750247650509687,0.0002479689532123415
120,0.1748891844709651,0.0018288326917006647,0.0
121,0.14772254644969315,0.002282819917898875,0.002177350601648275
122,0.1403434245730825,0.0022958966299273576,0.0001486312043572844
123,0.016785065386967987,0.0018565721122219222,0.0
124,0.05508944463711524,0.0024758316132510185,0.0
125,0.09856706428413385,0.001825060536535617,0.0004103447388322056
126,0.12130172393108243,0.0017862298870659644,0.0
127,0.40126383819994227,0.0016754838517165794,0.0
128,0.10227620239167945,0.002188021697562193,0.00011198481498904496
129,0.5943130318099703,0.0025263570090619143,0.0
130,0.7254728956750383,0.002520443002763097,0.0005208271963145154
131,0.46366304674843395,0.0021648373596448393,0.0008489343850345321
132,0.3017277457622368,0.0019892563080906797,0.00022176085833716745
133,0.2054523619574084,0.0024717345184881397,0.0
134,0.06492221601400096,0.0021591848705177752,0.00034864747571074624
135,0.11961980370150499,0.0020776956168733983,0.0
136,0.26741987632104025,0.0022982509925896953,0.0006023511904484413
137,0.3918476784639153,0.002025865808205619,0.0010298935715868612
138,0.30623636127094617,0.0017934672843499427,0.0003664657228915235
139,0.03359670975989113,0.0015488235828523564,0.0002483948272357147
140,0.2669819885979216,0.0019143979219322688,0.0
141,0.47374082722003447,0.002234019282197972,0.0
142,0.046135416143722394,0.0012558534496104486,0.0006964722883048189
143,0.5099617623658113,0.001987356228413373,0.0
144,0.012446325868035815,0.0019545054432090997,0.0001229948643828331
145,0.4156898218394579,0.0021744170322143415,0.0
146,0.11420618675930604,0.001416252076929651,0.0
147,0.6407203861649422,0.0018038200656023647,9.023839590943055e-05
148,0.5199207121964784,0.002063523166577865,7.449124973531396e-05
149,0.11171898633810212,0.0023581517614116947,0.0001497948736738423
150,0.35693744799904553,0.0019196349675121931,0.0
151,0.041627469854276594,0.0019536391504004673,0.00011631914984000666
152,0.11859083542774404,0.0019449623188828094,0.00022906929499554078
153,0.25635103214827076,0.002002317225018164,0.0003560609376191027
154,0.15298909112096984,0.0021581187004359637,0.0006992341209173475
155,0.08136030959836398,0.0022907395729567953,0.0002478416619498461
156,0.1164808541397259,0.002056312617533562,0.0001785401434989357
157,0.2314666964499999,0.002412300209775486,0.0008968614760788955
158,0.08501548507002697,0.001735291145426746,0.0006360977259886019
159,0.4316482455785248,0.001563399242731767,0.0
160,0.24690750732476557,0.0019096249158979293,0.0
161,0.3770749298287032,0.002303687365085396,0.0001873958428700107
162,0.012759233068768566,0.0018776831297097902,3.449362128497857e-05
163,0.05294379486740396,0.0019109749544958165,0.0
164,0.07119750448517448,0.0025148599698743045,0.00039840125422606343
165,0.600714875510288,0.0068783578882256145,0.05079251378950824
166,0.7103937142462645,0.0018878423345224313,0.0003943340438206952
167,0.9084913531097648,0.002750613929648717,0.00342388510798913
168,0.5593815652065329,0.001800302645178196,0.0
169,0.18571592321014543,0.001988406128296573,0.0
170,0.1680675025024491,0.0027680054482728,0.00031026971716009
171,0.2557660531663396,0.002148766800875478,0.0
172,0.19085975555945586,0.0018622508868274248,0.0
173,1.116862056845743,0.002384648745456718,0.0017284018412488922
174,0.42790126242869536,0.0019708861252111334,0.0
175,0.33102528088667454,0.00214392604894583,0.0
176,0.410668400001054,0.002178814532278754,0.0
177,0.05358522461857106,0.0024503832206788745,0.0
178,0.0022568430608494914,0.0022537554739396337,0.00023518142724236215
179,0.542467737027167,0.002012630066360096,8.85279329364842e-05
180,0.09386215862756073,0.0022456543867009947,0.0015522010789469456
181,0.016040199336229015,0.0018821507038121958,0.0
182,0.09673414621246816,0.006048031551073568,0.0024532979576864025
183,0.5188492931652684,0.00216131739251053,0.0006279367867937014
184,0.027049765193390574,0.0023253735698813244,0.00023145112351411157
185,0.28436719295321655,0.0026557183315826776,0.0003392076518085118
186,0.39302030810774996,0.002170669790567449,0.0003195898938610552
187,0.12699861602419396,0.002559152776602516,0.0009269697275685688
188,0.14684234208515026,0.0025592289633789116,0.0
189,0.2833244753679475,0.0022097477746956568,0.00026989629278985914
190,0.3566204523381013,0.002369369056971257,0.0
191,0.10090745560413619,0.0017209708712205998,0.0
192,0.026375150504407262,0.001990635198733892,0.0
193,0.07265637036083701,0.0023668571573132254,0.0007788487915570743
194,0.3201183312824035,0.003002875164577951,0.0001363510793590083
195,0.6917822762164587,0.0023546048347234025,0.0
196,0.14884272085808078,0.0025178033637952898,0.0034724004671577674
197,0.19369743993601646,0.0027754583552624707,0.0007776543183851387
198,0.3722172313073057,0.0019158210689269556,0.0006320686490405756
199,0.644775519461927,0.0028443283616956354,0.0
200,0.7514194359406884,0.004194143239022507,0.0036159142076763835
201,0.5282552425524131,0.0018549056469078762,0.0
202,0.2769716016641385,0.0019194323743103043,0.0
203,0.16528340485308762,0.002172546191358288,0.0
204,0.1552547759912459,0.002103903437313201,0.00011504163503687005
205,0.13213338542566866,0.002371985735205199,0.0009402304825524908
206,0.2315010389425321,0.0016547582124537502,0.0
207,0.43982463948483913,0.002196183523444113,0.00031767580041842946
208,0.5989056244757506,0.002173482141452053,0.0
209,0.3800042965843414,0.0017526688699152709,0.0029620816328100852
210,0.05395818225127044,0.002051765408046716,0.0
211,0.34502093031334957,0.002226217194523263,0.0
212,0.05880984227116745,0.0019231253014179686,0.0
213,0.14812852237693325,0.0020412167332235255,0.00030431209149571275
214,0.2531169909611632,0.0017614897415722097,0.0005463444528253047
215,0.8388919737185491,0.0018991894411745933,0.00015381086985636366
216,0.38215605734234237,0.0018212847398435985,0.0001572754493148176
217,0.3985817356390894,0.001945028692611778,0.0001204696529295447
218,0.21078880652320112,0.004452174622893791,0.002999007281184791
219,0.34607899761827704,0.002344367374691658,0.0
220,0.15106074661660177,0.0016146112735926576,8.360756312680329e-05
221,0.5545013951839179,0.002145081903600166,0.0
222,0.005126148340566647,0.0025705512277040487,0.0012225234108625513
223,0.4773043774940876,0.0017004784294002114,0.0
224,0.036550933635654766,0.0020060227387330544,0.0
225,0.10645942229308863,0.0019313249166408495,0.00035487560960876743
226,0.29918910171635815,0.0024553679037933184,0.0014082468873990264
227,0.3201402031734291,0.0019912790384224066,0.0
228,0.1097339811639107,0.0030955939724291353,0.005242812719640674
229,0.0040232421724168636,0.012214382859992268,0.05867316605719176
230,0.48800293448291104,0.0016325975881291283,1.2674483309026736e-05
231,0.24181897189417267,0.001402831155166966,0.0
232,0.4847868648358647,0.0063379263803647464,0.007678151584921718
233,0.1711205682363269,0.005440033383389495,0.03010155580070662
234,0.3163428988963945,0.003000122078734095,0.003511060323562868
235,0.44220807938984424,0.0021508677899243784,0.008108957156464189
236,0.10499306110716373,0.0016504822865427648,0.000508307957058331
237,0.4274797246454604,0.004401349559057175,0.01639471671346655
238,0.5511161991582714,0.0016443576025647988,0.0
239,0.6537527291019524,0.0023047353207759336,0.0
240,0.5495188421671863,0.0021940944689343733,0.00018275068253141143
241,0.5278710388001705,0.005624886401794558,0.004389864462377602
242,0.03961889850965652,0.0021031602395896777,0.0008026927312884958
243,0.18547210617080043,0.0021117200006241783,0.0
244,0.610349390871117,0.002364305004503901,0.00012461774398853402
245,0.0956398191752795,0.00195928767376101,0.00023696956342166538
246,0.4324281277837611,0.0019866406640375897,0.0015800923930361084
247,0.04493468311179568,0.00224912124935637,6.420388754543878e-05
248,0.19907373783642093,0.004698028062343812,0.003862853159151317
249,0.06416367577458777,0.002048116528495065,0.0001421054470510785
250,0.9105533204100891,0.0021167748777151506,0.0
251,0.5619089370723166,0.00217462931983045,0.0
252,0.1280785973459151,0.0021939299335758593,5.989631416664486e-05
253,0.41967855489250483,0.0018417676926226036,0.0
254,0.07838265803468464,0.0019364414699770507,0.0
255,0.35180590099214276,0.0021542033005892596,0.0008370916966088082
256,0.571996743726132,0.0018297665016501982,0.0
257,0.10399167417157293,0.0020902870473171104,0.0009174283742912437
258,0.01752768513075745,0.003212118179801995,0.005437085154048953
259,0.043144212378829414,0.010639788952916887,0.05978626298155338
260,0.22439787252669655,0.0017139205688735807,0.0
261,0.22558120728657538,0.04680452731857104,0.1171835375233606
262,0.1815692033935259,0.0024526680791187774,0.0002018849222780091
263,0.18414147986225204,0.002276266349361333,0.00023175700866049934
264,0.3520476758454815,0.002000427660650196,0.0008155857776942901
265,0.24168966814923673,0.0027062032483181125,0.0
266,0.4642376443989281,0.0020013771119521094,0.0
267,0.6421622379957925,0.0019933976280104558,0.0
268,0.6034550741377183,0.10900846941267306,0.1418970868018824
269,0.20429758401697645,0.00204987058652053,0.001605442873312575
270,0.024037354123079984,0.0018226395810661724,0.0003300482017738389
271,0.23555584606206795,0.002194961905735731,0.00032746579222966483
272,0.08418350007631428,0.001695916797201708,0.0
273,0.005410829105803639,0.0024732641666190087,0.0
274,0.18646840091401357,0.0017955820389579027,0.0001705878568329189
275,0.6140364978590428,0.0025702053753398624,0.0
276,0.3616655279653328,0.0025388855221840697,0.00039259116290352034
277,0.5520986575717743,0.002168557582297873,0.00025660503369872033
278,0.006398243731202718,0.001607540147391102,0.0
279,0.5547020888398236,0.003523674296994003,0.005200779919554354
280,0.7902787934949448,0.002211684842001777,0.0
281,0.548636702060905,0.002001676493152281,0.0
282,0.33192418160778264,0.00199533186736377,0.0
283,0.0962167095605309,0.002161149267832096,0.0
284,0.1522773372993984,0.00203417441564865,0.0
285,0.1702196800866872,0.004703262923429906,0.0033533051847374003
286,0.11802812083179856,0.0016924682214968416,0.0
287,0.8359081259262974,0.0020331328115071167,0.0005990800108348253
288,0.48072331592813444,0.0020905708194316045,0.0
289,0.2825569025415614,0.0021487031685594694,0.0
290,0.3288692592431963,0.001963080556780263,0.0009328290018729633
291,0.34908392820288736,0.0019677810831975253,0.000526902400534888
292,0.09458612215823621,0.002312367856199849,0.0
293,0.04874783153328405,0.0018109803970531085,0.00016033724750611926
294,0.4123987031841712,0.002418590002935346,0.00024233786209362838
295,0.041142655520173786,0.0019347100950835292,0.0004632636587921455
296,0.17419184907226243,0.00203819361043488,0.0
297,0.03310559240167531,0.001953453628834095,4.5751542249127046e-05
298,0.003580181315018013,0.0018980783887026043,0.00014474361128503447
299,0.03159147030349976,0.0021033201139510436,0.00020571748977696316
300,0.439036701053907,0.0019119058647785719,0.0
301,0.02903609097884963,0.00222577948637297,0.0017673081802836287
302,0.907570470009872,0.001734780559940928,0.0012770144899890495
303,1.1801402861880745,0.0022547601647433923,0.0001755418922453308
304,0.20739834833395185,0.0028951136118271457,0.004193121589918515
305,0.18151717636306194,0.0020325728796777493,0.00019890385829803256
306,0.2257391729715466,0.0020271788011120995,0.00015418538618580348
307,0.20641815225592047,0.001990684058544891,0.0005034379219382405
308,0.028998504239681498,0.002349926456529825,0.0016869111378834485
309,0.6550802958067854,0.0020768812505307867,0.0019212193687533675
310,0.39862190288191307,0.0024681957935466987,0.0020794430839803845
311,0.11015413428667417,0.0033255436232644845,0.007464221744976081
312,0.19059074288856856,0.0022414425174422685,0.00022079798505289904
313,0.45450280417969025,0.001744483731669552,0.00030166371398534375
314,0.36103578541988024,0.0020032346104517013,0.0
315,0.310614344270813,0.0026382928530228615,0.0006606711761469918
316,0.05951386125854867,0.001974596407207747,0.0
317,0.027565784606220757,0.0036571038063715295,0.009176638902311534
318,0.24974727410459355,0.0029168151680528344,0.0016471074734714555
319,0.38575062756565925,0.0017230298085756607,0.0
320,0.3068807114710785,0.0047220323351971055,0.006079028247001968
321,0.09719435578059792,0.0016022828494537205,1.0318025878599726e-05
322,0.6879702554360043,0.002336716977449062,0.0
323,0.0469867109613097,0.002308002313576912,0.0005392226273328033
324,0.40995483036803193,0.0022391530087092,0.0003672633438591459
325,0.2045084694797533,0.0029972840342896863,0.00891800927885031
326,0.7067416980383258,0.002193404928341397,0.0
327,0.3694583578946605,0.002316534828324096,0.0028693490065801047
328,1.087010996856804,0.006160448822603647,0.011234967612519003
329,0.045571208495854464,0.002057071200792445,0.0
330,0.036464854024383035,0.0018602022885202535,0.0
331,0.8359029553378556,0.0020084593235335704,0.0
332,0.3096404435109464,0.0026654900860301027,0.0012044579260784432
333,0.17942161088223835,0.0020804229283645447,0.0
334,0.028208310772366598,0.002337936414775201,0.0003611189409281251
335,0.5114092403153961,0.006291948182047544,0.010294983701412254
336,0.0463972758665892,0.0026735376144665503,0.0034211630991204008
337,0.3588512723356654,0.0024328317564145494,0.0
338,0.47989048344808305,0.0013792885359163252,0.0
339,0.3098277777845869,0.0020732917134356193,0.000158507723209939
340,0.4191185175300237,0.002037650891108875,0.0
341,0.24895345319128537,0.0029261946758979292,0.0006328182319853132
342,0.7634453933727883,0.0029573328573965,0.00041633687725399856
