Model,MAE,R2
Physicochemical only,0.8297114289870828,-4.058465708376602
ESM only,0.3802592372683365,-0.2294624850537219
Hybrid (Phys + ESM),0.3950706854408661,-0.3190028362675632
Ablated (top-10 ESM dims removed),0.4088370008508302,-0.3859280701543628
